CSD code,Largest included sphere diameter (A),Total volumetric surface area (m^2/m^3),CO2 uptake at LP (mol/kg),CO2 uptake at HP (mol/kg),CH4 uptake at HP (mol/kg),logKH_CO2,Band gap (eV)
QONLAI,6.10211,1909.45,0.6241728351,10.3157934681,8.4039359108,-4.376033681910918,0.4856359999999999
BUKYAJ,5.1020900000000005,752.828,2.4425993354,6.7695494862,6.6423341114,-3.58922276662279,3.866396
QAGDIO,12.81046,1833.59,0.4400126837,16.8895648078,13.0952727022,-4.533132379645891,0.3407610000000001
XUYDIF,3.88622,7.3351,0.3632022482,1.3017269446,1.3747301664,-4.342233977442646,1.785168
YEZFIU,7.76134,1275.65,0.3184479315,6.437679179,5.7975072559,-4.685283994670906,4.7516110000000005
WOHBIF,4.33773,171.816,0.6906022071,1.8794112236,1.7635423931,-4.065976502339992,0.589855
IBICAZ,9.97802,983.01,0.2739181596,7.1550672487,5.8402186111,-4.7462671407406845,3.027824
XOVVOU,6.57595,1592.48,6.4553837354,11.7756839105,8.0361364781,-2.68603159658797,2.3229930000000003
LUSJOZ,6.14785,1046.66,1.1160377187,6.0282048216,4.7054159705,-4.073348922911111,0.0374049999999999
XISPEW01,7.58694,1762.05,0.9960861644,8.570872996,7.5554798039,-4.017615684162786,0.4960789999999999
QUDJOP,6.19638,1490.34,4.5932559883,9.3294195466,6.7170232363,-2.324178597505795,0.7431760000000001
DITTEH,5.93254,1734.06,5.0243564285,11.2833746622,8.039217602,-2.7282791766376566,2.980798
AVEHAM,4.51878,275.16,1.1192753715,3.6405329428,3.0130211795,-3.849406259216268,0.592613
XAFXOT,5.91185,519.409,2.0262919723,2.218172489,1.8728960965,-2.765523212033233,3.847027
WECFAN01,4.19243,196.906,2.6309091087,3.0130040208,2.7730467999,-3.123768299167342,0.4075959999999999
TUBLIN,5.27232,632.993,1.4093521543,4.3390890991,4.2478769513,-3.9102926611544193,2.689141
ZOMNUM,6.06034,1085.31,6.3336305839,9.6477222947,7.3741119977,-1.9412627920594556,2.593307
ABEYIR,4.69665,464.617,1.7894611042,3.8744221239,2.1145325618,-3.731323761389159,1.928707
QEBGAH,5.50168,946.61,1.9667681377,6.5107070789,5.9435277481,-3.694543294667296,1.025342
IPIJEY,5.9118,853.978,2.1486214506,4.854568626,3.8495111301,-3.406500162041267,1.803599
MAQBEO,9.00352,1382.205,2.2182935025,11.4372833118,9.0100171645,-3.5816572703440843,2.88992
REGLOG,4.5216,368.671,1.4320616078,4.1728335856,3.2098940719,-3.778940646151277,3.270034
UYOFIY,4.54158,645.979,3.0365911885,4.5958975467,3.5946981119,-1.9707704851323544,2.545599
IQEKUM,5.23045,1190.57,4.0121237403,7.8187289913,6.596476459,-2.1089975166290884,2.742296
DOGZIJ,5.26678,572.739,1.1665967814,4.855769648,3.3040997407,-3.94675248361533,2.510634
BOFGUZ,5.47859,2032.03,1.0447228221,10.0031990961,7.7559368995,-4.162417242979464,1.100504
OKAYUW,4.44294,256.9414,2.208548011,3.6102142331,3.5429885178,-3.273333906129178,2.611432
MUHNAG,5.2054,635.731,1.7599859491,3.3904235759,3.0145989817,-3.570425348857305,0.4306299999999999
MULQOA,5.82935,1856.49,2.3095001983,7.6137895046,6.0000511957,-2.831912254701316,3.068436
SUNJER,4.80272,1165.53,4.0319520434,6.5938483145,6.0195281259,-2.0763187975008845,2.340606
DOKDEN,15.14217,1668.3,0.705894798,14.4286271072,12.2896223454,-4.296662184954115,0.5859020000000001
OGUPIQ,5.83456,433.936,1.9678564231,3.3475321368,2.9701822243,-3.141299822205767,0.206288
PUFXUL,4.50657,219.636,2.1757846299,4.2527193628,3.6507040169,-3.486571964640358,3.1950000000000003
COKPOJ,11.55541,1461.28,1.9050461714,11.61571029,8.0751708881,-3.915985272064298,0.1815649999999999
ETEKAQ,6.79458,2043.78,3.212711394,11.2027535682,7.4965207593,-3.037577623968176,2.02241
PEPLIG,6.77242,1397.3,0.5271040353,8.8854982936,6.9804328021,-4.469166617520151,0.3717519999999999
