CSD code,Largest included sphere diameter (A),Total volumetric surface area (m^2/m^3),CO2 uptake at LP (mol/kg),CO2 uptake at HP (mol/kg),CH4 uptake at HP (mol/kg),logKH_CO2,Band gap (eV),DOI,Journal
QONLAI,6.10211,1909.45,0.6241728351,10.3157934681,8.4039359108,-4.376033681910918,0.4856359999999999,10.1021/ic5008457,Journal(Inorganic Chemistry)
BUKYAJ,5.1020900000000005,752.828,2.4425993354,6.7695494862,6.6423341114,-3.58922276662279,3.866396,10.1021/acs.cgd.5b00358,Journal(Crystal Growth and Design)
QAGDIO,12.81046,1833.59,0.4400126837,16.8895648078,13.0952727022,-4.533132379645891,0.3407610000000001,10.1021/jacs.5b13335,Journal(Journal of the American Chemical Society)
XUYDIF,3.88622,7.3351,0.3632022482,1.3017269446,1.3747301664,-4.342233977442646,1.785168,10.1016/j.inoche.2010.04.015,Journal(Inorganic Chemistry Communications)
YEZFIU,7.76134,1275.65,0.3184479315,6.437679179,5.7975072559,-4.685283994670906,4.7516110000000005,10.1021/ja3063138,Journal(Journal of the American Chemical Society)
WOHBIF,4.33773,171.816,0.6906022071,1.8794112236,1.7635423931,-4.065976502339992,0.589855,10.1021/ic8004008,Journal(Inorganic Chemistry)
IBICAZ,9.97802,983.01,0.2739181596,7.1550672487,5.8402186111,-4.7462671407406845,3.027824,10.1021/ja2078637,Journal(Journal of the American Chemical Society)
XOVVOU,6.57595,1592.48,6.4553837354,11.7756839105,8.0361364781,-2.68603159658797,2.3229930000000003,10.1021/cg701164u,Journal(Crystal Growth and Design)
LUSJOZ,6.14785,1046.66,1.1160377187,6.0282048216,4.7054159705,-4.073348922911111,0.0374049999999999,10.1021/ja910818a,Journal(Journal of the American Chemical Society)
XISPEW01,7.58694,1762.05,0.9960861644,8.570872996,7.5554798039,-4.017615684162786,0.4960789999999999,10.1039/C3CC48595A,Journal(Chemical Communications)
QUDJOP,6.19638,1490.34,4.5932559883,9.3294195466,6.7170232363,-2.324178597505795,0.7431760000000001,10.1021/cg900659r,Journal(Crystal Growth and Design)
DITTEH,5.93254,1734.06,5.0243564285,11.2833746622,8.039217602,-2.7282791766376566,2.980798,10.1016/j.inoche.2013.07.001,Journal(Inorganic Chemistry Communications)
AVEHAM,4.51878,275.16,1.1192753715,3.6405329428,3.0130211795,-3.849406259216268,0.592613,10.7503/cjcu20150259,Journal(Gaodeng Xuexiao Huaxue Xuebao)
XAFXOT,5.91185,519.409,2.0262919723,2.218172489,1.8728960965,-2.765523212033233,3.847027,10.1039/c001537g,Journal(CrystEngComm)
WECFAN01,4.19243,196.906,2.6309091087,3.0130040208,2.7730467999,-3.123768299167342,0.4075959999999999,10.1039/c2ce25715g,Journal(CrystEngComm)
TUBLIN,5.27232,632.993,1.4093521543,4.3390890991,4.2478769513,-3.9102926611544193,2.689141,10.1016/j.molstruc.2014.12.014,Journal(Journal of Molecular Structure)
ZOMNUM,6.06034,1085.31,6.3336305839,9.6477222947,7.3741119977,-1.941262792059456,2.593307,10.1039/C4CC03478C,Journal(Chemical Communications)
ABEYIR,4.69665,464.617,1.7894611042,3.8744221239,2.1145325618,-3.731323761389159,1.928707,10.1021/ic201013v,Journal(Inorganic Chemistry)
QEBGAH,5.50168,946.61,1.9667681377,6.5107070789,5.9435277481,-3.694543294667296,1.025342,10.1039/c2sc20443f,Journal(Chemical Science)
IPIJEY,5.9118,853.978,2.1486214506,4.854568626,3.8495111301,-3.406500162041267,1.803599,10.1039/C5CE00833F,Journal(CrystEngComm)
MAQBEO,9.00352,1382.205,2.2182935025,11.4372833118,9.0100171645,-3.5816572703440843,2.88992,10.1002/ejic.201601242,Journal(European Journal of Inorganic Chemistry)
REGLOG,4.5216,368.671,1.4320616078,4.1728335856,3.2098940719,-3.778940646151277,3.270034,10.1039/c2ce26312b,Journal(CrystEngComm)
UYOFIY,4.54158,645.979,3.0365911885,4.5958975467,3.5946981119,-1.9707704851323544,2.545599,10.1016/j.inoche.2011.02.021,Journal(Inorganic Chemistry Communications)
IQEKUM,5.23045,1190.57,4.0121237403,7.8187289913,6.596476459,-2.1089975166290884,2.742296,10.1016/j.inoche.2016.06.032,Journal(Inorganic Chemistry Communications)
DOGZIJ,5.26678,572.739,1.1665967814,4.855769648,3.3040997407,-3.94675248361533,2.510634,10.1021/cg701041k,Journal(Crystal Growth and Design)
BOFGUZ,5.47859,2032.03,1.0447228221,10.0031990961,7.7559368995,-4.162417242979464,1.100504,10.1016/j.inoche.2008.04.004,Journal(Inorganic Chemistry Communications)
OKAYUW,4.44294,256.9414,2.208548011,3.6102142331,3.5429885178,-3.273333906129178,2.611432,10.1021/acs.chemmater.5b03792,Journal(Chemistry of Materials)
MUHNAG,5.2054,635.731,1.7599859491,3.3904235759,3.0145989817,-3.570425348857305,0.4306299999999999,10.1039/C5RA06273J,Journal(RSC Advances)
MULQOA,5.82935,1856.49,2.3095001983,7.6137895046,6.0000511957,-2.831912254701316,3.068436,10.1080/15533170802440755,"Journal(Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry)"
SUNJER,4.80272,1165.53,4.0319520434,6.5938483145,6.0195281259,-2.0763187975008845,2.340606,10.1002/anie.200900134,"Journal(Angewandte Chemie, International Edition)"
DOKDEN,15.14217,1668.3,0.705894798,14.4286271072,12.2896223454,-4.296662184954115,0.5859020000000001,10.1039/b806616g,Journal(Chemical Communications)
OGUPIQ,5.83456,433.936,1.9678564231,3.3475321368,2.9701822243,-3.141299822205767,0.206288,10.1021/cg9005696,Journal(Crystal Growth and Design)
PUFXUL,4.50657,219.636,2.1757846299,4.2527193628,3.6507040169,-3.486571964640358,3.1950000000000003,10.1002/chem.201405395,Journal(Chemistry-A European Journal)
COKPOJ,11.55541,1461.28,1.9050461714,11.61571029,8.0751708881,-3.915985272064298,0.1815649999999999,10.1039/C4SC02064B,Journal(Chemical Science)
ETEKAQ,6.79458,2043.78,3.212711394,11.2027535682,7.4965207593,-3.037577623968176,2.02241,10.1039/c1ce05069a,Journal(CrystEngComm)
PEPLIG,6.77242,1397.3,0.5271040353,8.8854982936,6.9804328021,-4.469166617520151,0.3717519999999999,10.1002/anie.200602556,"Journal(Angewandte Chemie, International Edition)"
REYBAA,4.19945,158.552,0.8241940521000001,2.986595232,2.1886959106,-4.035181946170189,1.0169700000000002,10.1039/c3ce26864k,Journal(CrystEngComm)
COKPUP,11.57951,1503.13,2.0532743287,10.9729032967,8.0804774266,-3.849790225024217,2.136242,10.1039/C4SC02064B,Journal(Chemical Science)
MICPAQ,4.95326,707.831,3.586059504,9.3291436523,5.632702716,-3.337617145172626,3.026943,10.1002/chem.200501067,Journal(Chemistry-A European Journal)
PEVLIN,4.23888,155.554,2.6193575961,2.6342887906,2.4199278225,-0.5777467620946495,2.984867,10.1039/C2CE26695D,Journal(CrystEngComm)
KIYQIU,5.86454,1284.55,2.3069069508,6.8517349356,6.0485953437,-3.6489094151450088,2.572195,10.1021/cg401106z,Journal(Crystal Growth and Design)
XEQRAO,5.51146,650.904,1.917801694,3.7870928357,3.6135161388,-3.2884095506488222,1.941192,10.1039/c2dt31844j,Journal(Dalton Transactions)
OGAGIN,5.17696,446.31,0.9196278264,3.205641807,2.2636800403,-4.062069573770582,1.885592,10.1016/j.ica.2007.12.029,Journal(Inorganica Chimica Acta)
DAWCOV,6.44243,1467.26,3.5929933079,10.6545951053,9.1184860236,-3.4269194293474072,1.23335,10.1021/cg201552g,Journal(Crystal Growth and Design)
LEDHEJ,5.17343,503.005,2.5070156955,3.0310883913,2.3263765992,-2.2213915335203107,3.11402,10.1016/j.inoche.2012.04.027,Journal(Inorganic Chemistry Communications)
OWIHUZ,7.37728,1463.55,2.7400348478,8.6090879786,7.2597161503,-3.8153199234349255,3.395251,10.1021/jacs.6b01323,Journal(Journal of the American Chemical Society)
BEPPOD,10.03622,1112.91,3.2381971843,9.6376185875,7.0150108412,-3.063316895594288,0.0890569999999999,10.1039/c3cc41842a,Journal(Chemical Communications)
FOKWIN,4.14623,113.466,0.7362821948,2.2721159928,2.7079055767,-4.005184157118365,0.690909,10.1016/j.inoche.2014.04.021,Journal(Inorganic Chemistry Communications)
YIHBIC,5.86609,1413.28,6.4168469011,11.5203731392,7.7643451494,-1.4917599072361152,2.364624,10.1039/c3ce40109j,Journal(CrystEngComm)
