CSD code,Largest included sphere diameter (A),Total volumetric surface area (m^2/m^3),CO2 uptake at LP (mol/kg),CO2 uptake at HP (mol/kg),CH4 uptake at HP (mol/kg),logKH_CO2,Band gap (eV)
XUKLAS,5.87516,531.268,3.0672734268,4.8468134086,3.6698379611,-2.8193638275425923,2.119654
FURSES,5.13622,857.506,1.9736771621,5.1122879919,2.9858844013,-3.594375356997229,0.128388
DIBWUI,4.2289200000000005,75.2764,1.7376341634,3.2845387751,1.6582838441,-1.7531568777486803,0.909403
QITYOI,5.05446,920.902,3.3426586085,5.8227573691,3.8562304415,-2.3890142381329773,3.913942
IBASUB,7.25865,730.288,0.3416953718,2.8160512115,2.9655682061,-4.580249062213731,0.935073
ABEYEN,4.70447,498.734,2.629417934,3.9853161476,2.1626109472,-2.7463204129574086,1.916479
DUMXEQ01,4.78039,440.721,1.2864625872,3.0575708514,2.6240279583,-3.806104934380649,2.76466
KOCWIJ,4.05468,89.4904,6.6885091921,8.6207111356,5.3372283569,-2.4601313470406896,1.956534
QIVZEC,5.08249,491.197,1.0761733237,3.4162397955,3.1404435645,-3.967574660091567,1.553863
DOQRUW,4.54932,376.306,2.0616180481,4.4735220377000005,4.4693320349,-3.4775609832755454,0.6456050000000002
BUSQEM,5.28773,656.2950000000001,3.2279719853,7.8898085176,6.9392884956,-3.2047172875538674,0.193938
DUKMON,4.06904,32.1105,0.3460996166,1.8682555523,1.7919321516000002,-4.553066929411133,1.149908
IROROY,4.85913,330.393,2.6581178871,3.527327098,2.7019206321,-0.8503529639602697,2.114529
FIQYOU,4.72303,426.355,0.2837470654,2.4692491014,2.2067523615,-4.682640876249058,0.1482709999999999
PUFXUL,4.50657,219.636,2.1757846299,4.2527193628,3.6507040169,-3.486571964640358,3.1950000000000003
GOYYEA,3.89793,16.1403,1.3877140397,1.8794417453,1.761737222,-3.2991682627149475,2.292171
QEBGAH,5.50168,946.61,1.9667681377,6.5107070789,5.9435277481,-3.694543294667296,1.025342
QITDEE,4.86214,224.282,0.8802567737,3.1358070576,1.5826014970000002,-3.929832788341687,3.4361630000000005
VETTOE,6.62806,1964.65,5.1517411462,14.6140496154,10.7291776638,-1.9736874114953284,1.663926
YARDEC,4.66636,658.157,2.5338471338,8.1606450515,6.2705034032,-3.580126824850524,3.128007
MAPHAP,4.44624,243.431,2.3010456005,4.3065631612,3.0854282746,-2.834111982286937,2.56669
KOSLUB,10.96072,1506.47,1.7944355597,10.8679826377,7.2522843753,-3.849378626774488,0.4503939999999999
DUBKAO,7.17371,1086.46,1.0294653832,7.20092254,6.6850354126,-4.139745865289262,1.01626
NAJTEA,5.94588,1629.23,4.6282412999,8.8494942329,7.1196243143,-2.426406721893913,2.67969
OTIQAL,5.97222,1049.73,1.6548531056,6.1715954228,5.2907078042,-3.8466150713566383,0.567991
WILHIK,4.65234,488.514,1.8633096876,4.2789070683,3.6246345009,-3.577132864840576,2.462756
FUNBAS,6.30412,988.664,1.452120608,6.4345185659,5.4152781652,-3.872674869291139,2.274828
ZARZAV,5.22384,642.448,2.6183570528,4.4987226039,3.5266672629,-2.9029788218331096,2.742731
NAJTAW,6.34991,1861.37,4.4423376202,9.8100156866,7.5346130275,-2.158380281161551,2.6087930000000004
HAZNON,4.92903,270.835,0.7900307563000001,1.8666399093,1.7757639235,-3.85609565147262,3.067563
XENKIM,7.32998,1996.83,3.7765236026,15.8261849821,12.0068336125,-3.615263185114317,0.963749
CUGFOB,3.89377,13.4897,0.3119523625,2.6049415912,1.4040822186,-4.621911121361213,3.553257
MEJZEI,5.3226700000000005,250.158,1.175481645,2.8860752831000003,2.1219215527,-2.9731645096008763,2.996595
HOGSIG,5.41082,762.065,1.5617454067,5.6112365387,3.7555385341,-3.999513862366554,0.354777
POKSAL,5.1688600000000005,371.564,1.4195395846,2.4951037811,1.4115041036,-1.7692829207172631,0.8613170000000001
YOYWEQ,4.77876,553.066,0.961760219,3.7137751927,2.9007575655,-3.967703655260528,0.733377
DALSUH,5.9139800000000005,1014.5,4.7090983542,8.3466033664,4.4313461014,-2.433465877721268,2.127655
YUKXEJ,4.78127,355.939,2.2919630212,3.3263147926,1.5574641756,-1.6936543322716922,2.737541
XEJWUG,4.34072,230.517,1.5119369733,2.509070756,2.8052522117,-3.402183097073192,0.2921819999999999
GOYYIE,3.88784,10.8668,1.174375789,1.5983807413000002,1.5238789362,-3.4249311403373843,2.292967
OQANIE,7.73235,1172.265,1.5517337800000002,8.0146946126,6.2230766428,-3.462050006898429,0.4059619999999999
KOSKUA,11.38797,1440.18,2.8096805418,11.449109294,7.9789504764,-3.7205087252731377,1.071221
MIMSUY,11.16343,1158.86,1.0173373595,8.8059533122,7.190937813,-3.239830928943693,2.155505
HAPGIR,6.12679,1250.01,4.7237648121,8.1297844168,4.9727177081,-1.9600072072113943,0.451521
UQOGAK,5.32857,1007.23,5.4868994553,7.3645090992,6.724186154,-2.5804093443958576,1.219816
FIVYUF,4.68091,202.014,1.1240222887,2.4653442479,2.4945706279,-3.7335613216853,2.4207720000000004
MOGVAG,3.88706,9.47337,0.6621065288,0.6893992092,0.6397447565000001,-2.3200354726408605,2.987474
UXOZIS02,5.14755,653.119,0.2728146973,8.1984401717,8.1870793594,-4.739558903243879,0.4479740000000001
EVOMOR01,4.57986,446.011,2.1863683514,4.1554900526,3.7200204392,-3.300654059399571,0.4704070000000002
XEGKEB,8.23995,1720.68,1.6318588137,9.8014974012,7.4350547179,-2.96520716014186,1.489157
XISPEW01,7.58694,1762.05,0.9960861644,8.570872996,7.5554798039,-4.017615684162786,0.4960789999999999
ILOJEZ,4.06811,53.053,0.6349657906,2.3324540756,1.9303662113,-4.2516561202641565,2.769203
BAFKUR,4.20949,56.865,1.0349088468,2.1339128417,1.9351729071,-3.746795308640559,0.6717550000000003
DOTWAL,6.26428,650.906,1.7122412762,4.4854206943,2.2154163374,-3.536665535421937,4.213185
COKPID,11.40668,1463.01,3.0328924828,11.6683003679,8.2486345519,-3.657500337433728,0.1480349999999999
OSOMIT,4.6176200000000005,191.578,1.75963028,2.388341415,1.3408923274,-2.248892645698956,1.086564
XINWUO,6.28616,1769.32,5.5478316976,10.996160741,6.5450460433,-2.6282175261322034,3.942344
UBIPAY,4.38835,739.461,4.4199425922,6.228397991,5.931927702,-2.471448363270117,1.404748
EBIPOX,5.78746,1815.56,0.6930937746,10.7452145597,7.1958092657,-4.351102577259239,2.950143
TOKDON,5.68269,1856.22,2.8919452021,9.5710235057,8.6417564434,-3.670801514691804,3.241927
MEJQID,4.95338,643.444,2.1856333306,5.931939807,4.9483154197,-3.5735391652667614,2.232467
GOYYAW,3.94364,17.8865,1.1774293891,1.637452488,1.5277799767,-3.4273200405834943,2.2827070000000003
IZEBEV,3.9737,32.0756,2.0360578214,2.0914977041,1.3288191145,-2.246476689431302,2.729306
KIGCEK,10.39364,1189.23,3.5642227356,9.3852620958,7.2771956054,-2.5910091511619417,2.951351
OCUMIL,5.22769,961.08383,4.9478058002,8.1241941939,4.6536265726,-2.0151501234241653,0.7112890000000001
YINCIJ,5.57662,1027.08,3.4356795925,6.8003908977,5.376724042,-2.241735491935804,1.1068589999999998
ACAJOF,6.86398,970.915,0.3909331279,4.7069803065,4.189002273,-4.607148345898332,0.392395
HOGQIF,4.41978,143.432,1.256815944,1.6468508573,0.9158322153,-1.891478949118358,2.507445
COMZAH,5.00277,199.191,1.2825118880000002,4.0787926773,2.4977129695,-3.705584481230438,2.636115
DIBXOD,4.28457,95.2026,1.8392644316,3.2298821311,1.6876747479,-1.88010106556598,0.908597
RUGKOV,6.88401,2390.24,3.3610956207,14.0477765047,10.1756226642,-2.652878886645812,2.7762580000000003
QUHMOX,4.58402,143.541,1.6799613118,1.9783125243,0.8048645733,-0.8567946518889881,4.939341
POHMAC,4.00725,69.0688,2.2257812714,3.6926449603,2.3730255706,-3.2279123765192392,2.830806
RIYWED,4.63321,131.233,2.1744104141,2.4496799227,2.2699087035,-2.4571658623506023,3.024011
FIGQUJ,4.99341,243.263,0.5045830909,2.0739424762,1.7294666845000002,-4.318502785288697,0.297127
KIYQIU,5.86454,1284.55,2.3069069508,6.8517349356,6.0485953437,-3.6489094151450088,2.572195
SABYIG,4.52957,218.312,2.1068007392,3.536347639,1.7987397133,-1.2666975857434528,1.006124
BEPPOD,10.03622,1112.91,3.2381971843,9.6376185875,7.0150108412,-3.063316895594288,0.0890569999999999
UYOFIY,4.54158,645.979,3.0365911885,4.5958975467,3.5946981119,-1.9707704851323544,2.545599
ZUSBIA,4.68848,497.442,2.3681463666,6.0558377756,4.6682147103,-3.5336188246354308,2.414843
XILVIZ,7.75339,1850.86,1.869969012,12.7791121754,10.8170958525,-3.646803382807665,0.070726
CUKZOY,4.8322,761.589,2.728831158,5.5631963217,5.7686223731,-3.426326738444177,0.835483
KEGYAX,4.05397,145.102,0.6767717574000001,1.97441894,1.2681639233,-4.098342831428161,2.050325
ZIYPUU,4.16938,65.4085,1.980016644,4.8634730081,3.3312645256,-3.1487789655083844,3.285206
KATDAM,6.25403,308.333,0.0894200493,1.5199968998,0.8969261847000001,-5.2115487929765445,2.630083
QADXAX,4.50897,366.482,2.5679206957,3.3478631455,2.6445438362,-2.1800857560243414,3.276834
FOHSAW01,4.19352,119.381,2.1590574279,2.8802431805,2.2137339667,-3.449739840626449,1.038491
WEMFEB,4.87971,1872.71,1.8281841022,6.3376606594,4.6411437382,-2.090173957775884,3.114761
ZERNOB,4.35265,133.696,0.5440331839,1.8426364571,1.6704627399,-4.276384267815352,2.9542520000000003
ADIQEL,4.43355,470.085,3.4671578994,5.4640093441,5.6050678007,-2.926245001876808,1.141697
YUZBIG,5.58636,433.855,1.6297906819,3.1301448157,2.0507705981,-3.3528929532034075,3.823177
NAPZOV,5.15523,696.429,3.2237830383,3.7370456195,3.4236494557,-2.728746366186785,3.461778
YARDIG,4.62568,676.834,2.5107553247,8.2323009297,6.5150569072,-3.5849815545591586,1.180268
RORVAX,6.42929,3068.02,4.6988384295,18.8175306626,15.6654790666,-3.3564910662816034,0.505841
KOGJOG,4.59413,323.919,1.784364204,3.1142899462,2.4327430556,-1.583211425151146,2.872503
YOPPAW,4.43567,196.648,0.9091415359,2.9415021481,2.0402534035,-3.970502590027775,1.965006
RUGGUX,3.78929,4.2848500000000005,1.8003944329,6.2911332845,2.0135532254,-3.804233145822941,4.61637
SOHGUS,9.69532,1682.09,0.5209456977,15.9086709498,12.6717686864,-4.455985315106792,0.651791
QIHXIQ,9.72743,1637.52,0.2834674376,11.0673467358,8.8892946788,-4.722189154860357,2.867389
BEPPIX,9.77409,1097.58,3.2987837554,9.2904745598,6.6436416882,-3.0643491686644007,2.818708
FAVGUH,4.86763,537.129,1.373361363,2.7520506231,2.2358859879,-3.0043064647089914,2.915471
UKAQAZ,7.03658,1409.12,2.3844818003,8.7163295145,7.1460334333,-2.5293837310141054,2.941871
KUQXIE,4.66467,494.259,2.4291757443,3.3360675552,2.0003067399,-1.956445181592243,2.7255070000000003
MOYMET,9.12886,1018.79,3.562822817,9.8500758568,6.2607057549,-3.4681354984904047,0.467005
MUHNAG,5.2054,635.731,1.7599859491,3.3904235759,3.0145989817,-3.570425348857305,0.4306299999999999
UKAPUS,6.98994,1403.51,2.486059784,8.978449891,7.1673854115,-2.0048823188660254,2.937482
UDEGIW,4.92586,541.29,2.8280639856,5.5732213613,4.5395941599,-3.1900849153158224,0.637413
NAVJAW,11.35149,1428.3,3.7116726074,11.4105498962,7.9532664716,-3.529166300227119,0.299808
GERNOI,6.93892,954.979,1.1036870208,6.9418691441,6.3995893331,-4.116435653287921,1.62864
FAZPED,7.63868,662.609,1.5856627267,3.3744974168,2.4849146405,-3.547169750814941,0.132766
IZUMUM,5.57902,982.097,0.4577309597,4.6584614032000005,3.9834413326,-4.496161669691863,0.435513
LEGGEK,4.38053,140.536,3.6371695698,3.9901693403,4.4838148137000005,-2.0498396822140728,2.777008
POMSER,7.01968,1065.95,3.8108601591,7.8372466326,6.4216897423,-2.3586488578524163,3.277227
APAZEY,6.61049,2142.6,3.5235640689,11.5519797612,9.4430425483,-2.44033750989062,2.363794
HUSQES,3.88653,24.4607,4.9441816238000005,6.5187678091,5.467696598,-2.2753522713523684,3.272207
FEVDER,4.11995,29.1625,1.0093460709,1.936575295,1.6109962173,-3.8172430689596006,0.3741549999999999
BOZFIH,5.87158,1487.21,2.1834714547,8.8131546103,6.9674038772,-3.696598727510692,1.694532
PUWVAG,4.80954,519.71,3.5960312571,4.2100262057,3.9812499377,-1.8509811401817908,2.592699
RIXBEG,6.00946,529.557,0.9787024186,3.476475739,2.6909574598,-3.977431423410704,0.307709
KINDOC,6.25246,1640.44,3.1829951782,11.3748351002,8.2916585137,-1.968838042562936,3.451324
WEMFOL,4.8612,1836.56,1.7676282312,6.1439936592,4.5691930563,-2.267315199565953,3.148131
MALSIE,16.8944,1307.09,1.579763606,17.7633746183,13.134059194,-3.918681502072285,0.5895290000000002
XUNTIL,4.3912,321.639,1.5360728766,4.2023292556,4.2759488519,-3.732990281915661,3.061064
KIQKOK,4.0118,37.7686,3.2025775084,3.3955060482,1.6275879829000002,-2.473329957566061,0.490874
OMABEL,7.32645,1481.31,2.3383256618,8.1485947498,6.9238636325,-3.367131891551641,0.910881
YARYEV,5.64641,1653.55,0.1115920685,5.8227931617,4.7060076595,-5.121211735153507,4.769673
TOBKEC,10.11718,1541.29,2.7077505691,11.0221560906,8.2215219974,-2.4498218077958223,2.444834
FEXCES,6.14892,1224.51573,5.5848141623,11.3983296545,7.369438523,-2.692923483457065,0.3472099999999999
LUFNAC,7.52412,1310.45,5.0290764719,9.7558245955,8.0990757106,-3.042659979638868,1.585413
XAGPUT,5.48557,2070.74,0.4523451637,6.0905841919,5.5814796456,-4.525429740774299,0.2160459999999999
UHISOU,4.50899,352.763,6.6618583305,8.0034555534,4.3978152719,-0.9542312179295844,3.3727720000000003
IDUDIW,4.41225,511.914,1.8344950461,8.8757844161,7.5880481566,-3.8645938133509774,0.3071129999999999
SIWTEZ,6.78942,885.523,1.6238781333,4.9008964719,3.6297508563,-3.92203285485313,0.278726
HAWWUZ,6.85987,2193.53,5.07733834,12.7406947869,8.200725286,-2.5325073270284952,2.496941
AHINIP,5.10577,155.204,0.8886312863,2.5701106854,1.8247056279,-3.8421837353017385,2.062508
BUVWOF03,7.08216,686.802,0.3944158027,3.874961615,3.5681229771,-4.593030846359325,1.152852
AYONOT,4.66127,1987.51,0.4186744789,11.7097018846,3.9684522196,-4.524856385826159,0.673027
YARKAF,4.78127,196.297,1.1407227874,3.1397378267,2.1534619408,-3.990459874776227,2.730203
WOBHOM,5.74395,1956.68,1.0286029043,10.0324025988,8.3384257803,-4.188391485045488,3.020388
LIVLUZ,5.91163,1030.89,1.2567166266,5.840997072,4.2613784469,-3.972654470126848,3.101419
DAWCOV,6.44243,1467.26,3.5929933079,10.6545951053,9.1184860236,-3.4269194293474072,1.23335
GONNAA,7.09205,2432.61,4.2727691862,14.1638097012,9.0900824473,-3.2588381547568117,3.658935
ASINAT,9.7655,1733.41,0.7878692277,15.3897371509,12.3383891073,-4.114206962185784,1.590539
QUZZES,5.06119,651.609,4.820054661,9.2523633335,7.1661277526,-3.019614344717229,2.217628
SIVQAR,8.43693,1386.53,3.3185044318,7.1636303669,5.2599803529,-3.165109647536361,3.103407
VOFVIW,7.58551,1796.54,4.7668050669,12.677825934,9.1449162999,-1.0435069308569738,1.729297
GUMDEZ,5.27869,929.079,3.3415950136,5.3692653507,4.1687797305,-2.682091201142218,2.869237
OQOJUB,5.19109,613.104,1.1192849643,3.8418232842,4.0159653045,-4.04132863144599,4.677402
DAWWIJ,4.1516,143.78,4.5431259874,6.2923762709,3.0542365504,-2.454523405655141,0.955347
COKMIA,11.457,1461.32,2.3614459069,11.4122194233,7.9748790563,-3.823315610366023,0.188379
FIGXEY,3.78573,1.14429,0.978746818,5.6912070012,1.3879016232,-4.156706786272601,4.584853
EDABOC,5.13779,445.571,1.5444921532,2.4695165548,2.42700744,-3.434339865415021,3.618385
RUFMUA01,4.11681,76.6334,3.0505333736,3.6801889116,3.7805772344,-1.1388325347806647,3.222077
COKMOG,11.40307,1456.98,0.3317054187,8.7767185445,6.7818366594,-4.64762450499948,0.1676539999999999
QOHTOX,3.99648,51.4177,1.6427107873,3.2533517879,2.9005677405,-3.571708045736387,0.376479
AYUWUM,4.54144,256.216,1.2014612336,4.5669497505,2.7356601523,-3.322350167378271,2.954996
OLUCAZ,5.7945,779.511,0.9618525606,5.6386196664,3.0766240751,-4.118405380365713,0.990771
GUBVUU,6.86464,1328.1,3.4353768248,10.7200880387,8.7735883817,-3.3663326225119885,0.4173299999999998
IQEKUM,5.23045,1190.57,4.0121237403,7.8187289913,6.596476459,-2.1089975166290884,2.742296
KEXFAU,4.63469,1447.75,3.7358842341,9.5885054843,9.4256465199,-3.4409664300948086,2.373765
UZATAR,4.70366,497.77,2.8238882738,3.6650284395,2.1841437131,-0.7231064139123469,2.999706
SODZIV,6.23207,937.022,2.8295831948,5.5372503344,4.0994436261,-2.3577452580459246,1.824409
EPEXII,5.44341,698.244,1.3563656684,5.5285304061,5.2377062799,-3.921083030154364,2.912331
ESARUN,6.08793,846.918,2.8196629207,6.0491513506,5.0936363046,-2.990561852758729,1.778827
YUKXAF,4.82555,371.954,2.3453668579,3.2824653862,1.5485520635,-1.2420508259296097,2.730221
ECEDEY,6.39219,1241.46,4.9504770571000005,8.330971357,6.5805070482,-2.3364272150952115,2.714155
VAJTUX,4.46543,173.079,1.2449234316,3.1031253394,3.0407392358,-3.93525756617903,0.509735
OMAXEG,4.68283,259.346,1.5005818668000002,3.3861983281,3.0042373707,-3.783815617490949,1.377931
TAKTIL,7.09237,1387.62,4.8983208641,9.3322069589,8.0563830671,-3.520410295152005,3.3685910000000003
KIYMAI01,3.96338,89.6331,4.8914274322,6.6089202852,5.4762179911,-0.873212936188312,2.7106440000000003
MATPUV,8.96945,1383.85,3.1516855906,9.4119594132,5.8244951019,-3.383241000636856,1.15642
ZERNIV,4.30674,150.659,0.397152798,1.9036622448,1.6741898437,-4.409479158136464,2.964112
UPIBOM,6.9638,1359.95,3.1201166881,6.7029759869,5.1127260742,-3.2978935819414423,3.533321
MIMDAP,4.29213,107.228,0.9199925795,2.1347210366,1.2180135582,-3.1368044722690764,1.2521099999999998
FAMQES,13.92314,2194.34,0.6565177497,19.5323007148,15.000601072,-4.337147766735204,0.5071849999999998
UJIZET,7.09242,1695.57,4.6297623245,11.5731504663,6.981288164,-1.5496092300627136,3.117002
NOMQAJ01,4.90223,419.599,2.1656932946,3.4683550861,2.7027837619,-3.3021588900787653,2.6760770000000003
PABXAT,5.69047,605.658,3.0632740214,4.3615131095,2.416751196,-2.2808917191470437,2.961963
UQUHAQ,4.10367,116.069,5.369458179,5.4328171505,5.2485337607,-1.4457107704984016,0.871942
ANAWOD,6.92762,1384.14,1.9519236984,8.0717564536,5.815633655,-3.922773854123819,3.11028
AFOVEX,8.81515,1501.4,3.1535738109,10.7226996488,8.2883239914,-2.9047016003067525,0.0278239999999999
